name,address,network,protocol,token_name,token_symbol,token_address,tvl_usd,locked_usd,liquid_usd,number_of_holders,apy_1day,apy_7day,apy_30day,vault_score,vault_tvl_score,protocol_tvl_score,holder_score,network_score,asset_score
AAA,0x687DfeCD7950a17236C51b517FaE2F9279FFC88d,base,morpho,USD Coin,USDC,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,31719,31719,0,,862,866,866,46.64074463884186,0,86.91436159710464,0,20,75
Aave Arbitrum AAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,arbitrum,aave,Aave Token,AAVE,0xba5DdD1f9d7F570dc94a51479a000E3BCE967196,4293832,0,4293836,2955,6,16,16,70.62128062941943,69.78013754284301,96.89476700883343,69.38230878211634,60,0
Aave Arbitrum LINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,arbitrum,aave,ChainLink Token,LINK,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,23275613,1917411,21358202,9370,12,16,13,73.02497888595911,74.26570513460736,96.89476700883343,79.4262070366951,60,0
Aave Arbitrum rETH,0x8Eb270e296023E9D92081fdF967dDd7878724424,arbitrum,aave,Rocket Pool ETH,rETH,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,5318634,137396,5181238,619,1,1,2,68.52377409451816,69.55971416724681,96.89476700883343,55.692829716902864,60,0
Aave Arbitrum wstETH,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,arbitrum,aave,Wrapped liquid staked Ether 2.0,wstETH,0x5979D7b546E38E414F7E9822514be443A4800529,76762625,1382234,75380391,4339,0,0,0,72.86162263566888,78.47229147049364,96.89476700883343,72.7283835869118,60,0
Aave Ethereum 1INCH,0x71Aef7b30728b9BB371578f36c5A1f1502a5723e,mainnet,aave,1INCH Token,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,734601,68983,665618,94,23,99,88,69.38407304526342,61.76639114090604,96.89476700883343,38.48592009032564,100,0
Aave Ethereum AAVE,0xA700b4eB416Be35b2911fd5Dee80678ff64fF6C9,mainnet,aave,Aave Token,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,172604837,0,172604837,1833,0,0,0,77.194128203111,80.76888201431366,96.89476700883343,65.21629997809939,100,0
Aave Ethereum BAL,0x2516E7B3F76294e03C42AA4c5b5b4DCE9C436fB8,mainnet,aave,Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3D,8808433,281049,8527384,170,18,18,18,72.1700612233289,71.49868511279396,96.89476700883343,44.08278264824493,100,0
Aave Ethereum ENS,0x545bD6c032eFdde65A377A6719DEF2796C8E0f2e,mainnet,aave,Ethereum Name Service,ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,361730,67037,294693,68,197,27,3,70.43481976233767,69.43291507629797,96.89476700883343,35.26886629029794,100,0
Aave Ethereum EtherFi PYUSD,0xdF7f48892244C6106EA784609f7de10AB36F9c7e,mainnet,aave,PayPal USD,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,111,1,110,3,0,0,1,69.90804668059498,38.563199385308025,96.89476700883343,0,100,87.5
Aave Ethereum ETHx,0x1c0E06a0b1A4c160c17545FF2A951bfcA57C0002,mainnet,aave,ETHx,ETHx,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,24859060,20429,24838631,57,0,2,1,71.03699663692376,73.81376338600504,96.89476700883343,33.442247707929255,100,0
Aave Ethereum Lido rsETH,0x56D919E7B25aA42F3F8a4BC77b8982048F2E84B4,mainnet,aave,rsETH,rsETH,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,45631993,1,45631992,5,0,0,0,65.54252599523426,71.42309595850439,96.89476700883343,0,100,0
Aave Ethereum LINK,0x5E8C8A7243651DB1384C0dDfDbE39761E8e7E51a,mainnet,aave,ChainLink Token,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,169375787,7939487,161436300,2450,3,6,5,77.58255444601387,80.81194936433633,96.89476700883343,67.74838513075488,100,0
Aave Ethereum LUSD,0x3Fe6a295459FAe07DF8A0ceCC36F37160FE86AA9,mainnet,aave,LUSD Stablecoin,LUSD,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3191190,2596209,594981,96,631,714,384,83.08862766339968,67.63587542207516,96.89476700883343,38.690305169675064,100,100
Aave Ethereum MKR,0x8A458A9dc9048e005d22849F470891b840296619,mainnet,aave,Maker,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,29936498,56547,29879951,194,0,0,1,72.71265339570782,73.3011704590923,96.89476700883343,45.29675000237324,100,0
Aave Ethereum osETH,0x927709711794F3De5DdBF1D176bEE2D55Ba13c21,mainnet,aave,Staked ETH,osETH,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,252087724,19141,252068583,160,0,0,0,72.98016723048133,75.96964965533206,96.89476700883343,43.52220330587701,100,0
Aave Ethereum rETH,0xCc9EE9483f662091a1de4795249E24aC0aC2630f,mainnet,aave,Rocket Pool ETH,rETH,0xae78736Cd615f374D3085123A210448E74Fc6393,88238411,1397410,86841001,537,0,1,1,75.06247276197777,78.19531585097066,96.89476700883343,54.43668525500176,100,0
Aave Ethereum sDAI,0x4C612E3B15b96Ff9A6faED838F8d07d479a8dD4c,mainnet,aave,Savings Dai,sDAI,0x83F20F44975D03b1b09e64809B757c47f942BEeA,2225312,0,2225312,86,0,0,0,70.4622186869003,67.80911042036303,96.89476700883343,37.61659866196215,100,0
Aave Ethereum SNX,0xC7B4c17861357B8ABB91F25581E7263E08DCB59c,mainnet,aave,Synthetix Network Token,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,554150,145468,408682,158,136,73,81,71.21182189680987,67.21536690160603,96.89476700883343,43.40561141970188,100,0
Aave Ethereum tBTC,0x10Ac93971cdb1F5c778144084242374473c350Da,mainnet,aave,tBTC v2,tBTC,0x18084fbA666a33d37592fA2633fD49a74DD93a88,89402755,3625726,85777029,139,0,0,1,73.02775576838971,77.19012411254357,96.89476700883343,42.21216094898414,100,0
Aave Ethereum UNI,0xF6D2224916DDFbbab6e6bd0D1B7034f4Ae0CaB18,mainnet,aave,Uniswap,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,5235844,212371,5023473,304,8,3,3,73.78692141437524,75.61954141692344,96.89476700883343,49.367375516381244,100,0
Aave Optimism AAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,optimism,aave,Aave Token,AAVE,0x76FB31fb4af56892A25e32cFC43De717950c9278,905713,0,905713,12492,6,10,6,58.54686610583659,0,96.89476700883343,81.92639534868815,60,0
Aave Optimism LINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,optimism,aave,ChainLink Token,LINK,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,1745216,36629,1708587,841,1,2,3,55.01678597280497,0,96.89476700883343,58.392527795143984,60,0
Aave Optimism OP,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,optimism,aave,Optimism,OP,0x4200000000000000000000000000000000000042,9103079,888794,8214285,18274,13,10,9,73.47777373175263,72.17484078218996,96.89476700883343,85.23265847854182,60,0
Aave Optimism rETH,0x724dc807b04555b71ed48a6896b6F41593b8C637,optimism,aave,Rocket Pool ETH,rETH,0x9Bcef72be871e61ED4fBbc7630889beE758eb81D,5644315,40549,5603766,5798,0,0,0,57.54559043927118,0,96.89476700883343,75.25122423825206,60,0
Aave Optimism wstETH,0xc45A479877e1e9Dfe9FcD4056c699575a1045dAA,optimism,aave,Wrapped liquid staked Ether 2.0,wstETH,0x1F32b1c2345538c0c6f582fCB022739c4A194Ebb,40733153,306610,40426543,2915,0,0,1,56.64743547885926,0,96.89476700883343,69.26352450217256,60,0
Aave v2 DAI,0x27F8D03b3a2196956ED754baDc28D73be8830A6e,polygon,aave,(PoS) Dai Stablecoin,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,2283810,1654614,629196,98795,0,0,1,70.21243968729927,77.73839897993365,92.9513917366782,99.89468797760836,20,0
